epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.2466,0.47223,0.98973,0.4334,0.53701,1.11477,0.19246,0.26126,0.18073,0.10571,0.35762,0.5216,0.41888,0.2012,2.03355,1.31769,0.20335,2.48445,3.06746,0.000662162,0.000662162,0.000662162
2,81.1571,0.44873,0.64591,0.30569,0.42103,1.05029,0.99709,1,0.995,0.97035,0.99709,1,0.995,0.84144,0.3207,0.55875,0.12987,0.53967,0.59954,0.00126305,0.00126305,0.00126305
3,119.791,0.3739,0.57665,0.28137,0.3732,0.99874,0.96036,0.98224,0.99375,0.89129,0.96041,0.98339,0.99375,0.85441,0.44279,0.46339,0.06958,0.66513,0.72589,0.00179794,0.00179794,0.00179794
4,158.062,0.34744,0.48278,0.24753,0.35033,0.97348,0.99576,1,0.995,0.92449,0.99576,1,0.995,0.92402,0.25462,0.33165,0.09318,0.30029,0.57119,0.001703,0.001703,0.001703
5,196.57,0.25694,0.41885,0.2368,0.28013,0.9364,0.99911,1,0.995,0.98827,0.99911,1,0.995,0.95356,0.23073,0.25658,0.03306,0.29555,0.52684,0.001604,0.001604,0.001604
6,235.59,0.24629,0.37523,0.22319,0.26708,0.92266,1,0.99976,0.995,0.99185,1,0.99976,0.995,0.9489,0.20064,0.23841,0.04276,0.32929,0.46311,0.001505,0.001505,0.001505
7,274.26,0.23658,0.32674,0.21395,0.25438,0.91966,0.99734,1,0.995,0.99473,0.99734,1,0.995,0.94555,0.26241,0.23686,0.10365,0.40499,0.49718,0.001406,0.001406,0.001406
8,312.326,0.222,0.32849,0.21213,0.24649,0.91331,0.99839,1,0.995,0.995,0.99839,1,0.995,0.94509,0.20552,0.25798,0.05341,0.20028,0.48882,0.001307,0.001307,0.001307
9,349.796,0.20195,0.34526,0.20661,0.22325,0.90549,0.99975,1,0.995,0.99496,0.99975,1,0.995,0.96156,0.15681,0.21129,0.01931,0.2258,0.42504,0.001208,0.001208,0.001208
10,387.013,0.17372,0.29409,0.20229,0.20396,0.89406,0.9997,1,0.995,0.995,0.9997,1,0.995,0.92341,0.15325,0.27562,0.05708,0.16829,0.4461,0.001109,0.001109,0.001109
11,441.914,0.1364,0.26236,0.06028,0.16414,0.8693,0.99975,1,0.995,0.995,0.99975,1,0.995,0.97634,0.16849,0.19033,0.01378,0.2255,0.45797,0.00101,0.00101,0.00101
12,478.946,0.14352,0.21718,0.05449,0.14482,0.87551,0.99545,1,0.995,0.9205,0.99545,1,0.995,0.97613,0.20197,0.17709,0.01589,0.33127,0.46763,0.000911,0.000911,0.000911
13,515.59,0.12645,0.19727,0.05166,0.12318,0.86788,0.99976,1,0.995,0.995,0.99976,1,0.995,0.97812,0.21182,0.17651,0.02251,0.24102,0.45989,0.000812,0.000812,0.000812
14,552.763,0.10721,0.18212,0.04093,0.10974,0.84862,0.99974,1,0.995,0.995,0.99974,1,0.995,0.97677,0.16364,0.1701,0.01602,0.30147,0.45838,0.000713,0.000713,0.000713
15,589.557,0.09038,0.16937,0.03736,0.10058,0.84761,0.99973,1,0.995,0.995,0.99973,1,0.995,0.98263,0.15484,0.14963,0.02053,0.20406,0.42047,0.000614,0.000614,0.000614
16,626.718,0.0831,0.15858,0.03904,0.09638,0.85051,0.99976,1,0.995,0.99358,0.99976,1,0.995,0.97904,0.18023,0.1511,0.02178,0.1986,0.45168,0.000515,0.000515,0.000515
17,663.502,0.07904,0.15592,0.0342,0.09001,0.84923,0.99976,1,0.995,0.995,0.99976,1,0.995,0.97843,0.18279,0.14158,0.01655,0.18513,0.45772,0.000416,0.000416,0.000416
18,700.044,0.07419,0.14834,0.03644,0.0818,0.83744,0.99977,1,0.995,0.995,0.99977,1,0.995,0.98283,0.14538,0.1404,0.019,0.16226,0.43833,0.000317,0.000317,0.000317
19,737.383,0.06131,0.14682,0.03729,0.07037,0.83919,1,1,0.995,0.97955,1,1,0.995,0.9836,0.15656,0.1446,0.02428,0.19571,0.4276,0.000218,0.000218,0.000218
20,774.364,0.05311,0.13881,0.03727,0.06325,0.82854,1,1,0.995,0.995,1,1,0.995,0.97885,0.1317,0.14312,0.01558,0.16481,0.4204,0.000119,0.000119,0.000119
